status,id,slug,title,category,category_slug,subcategory,region,city,address,map_url,phone,whatsapp,telegram,website,image,rating,rating_source,reviews_count,price_level,features,tags,hours_mon_fri,hours_sat_sun,hours_note,description,verified,featured,updated_at
published,1,konditerskaya-safiya,Кондитерская Сафия,Еда и напитки,food-drink,Сладости и кондитерские,Чечня,Грозный,,,"+79287895730, +79634282053, +79899321640",,,https://safiya-cakes.ru,,4.8,yandex,54,4,,"cakes,desserts,wifi,birthday cakes",09:00-21:00,10:00-20:00,,Популярная кондитерская в Грозном с широким выбором тортов и десертов.,FALSE,FALSE,2026-09-20
published,2,chaypey-set-magazinov-chaya-i-kofe,ЧайПей Сеть магазинов чая и кофе,Еда и напитки,food-drink,Кафе и кофейни,Чечня,Грозный,"Ул. Орзамиева, 30
Ул. Назарбаева, 89
Ул. Дьякова, 12",,"+79389898111, +79389952995, +79389953995, +79389954995",,,,,4.7,yandex,,,,instagram:chaypey95,,,,,FALSE,FALSE,2026-09-20
published,3,autostil,AutoСтиль,Транспорт и логистика,transport,Автосервис и СТО,Чечня,Грозный,,,+79298992999,,,,,,,,,,instagram:auto_style_95,,,,,FALSE,FALSE,2026-09-20
published,4,soren,Soren,Еда и напитки,food-drink,Кафе и кофейни,Чечня,Грозный,"Пр.Путина,19",,+79380003293,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,5,coffeeman,Coffeeman,Еда и напитки,food-drink,Кафе и кофейни,Чечня,Грозный,"пр.Путина,7",,+79380220000,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,6,otdel-rassrochki,Отдел рассрочки,Товары и розница,retail,Микрофинансы и кредитные организации,Чечня,Грозный,"Пр.Путина,20",,"+79288889091, +79280899484",,,,,,,,,,instagram:rassrochka_95,,,,,FALSE,FALSE,2026-09-20
published,7,artmedia,Artmedia,Услуги,services,Маркетинг и реклама,Чечня,Грозный,,,+79288882007,,,,,,,,,,instagram:artmedia95,,,,,FALSE,FALSE,2026-09-20
published,8,kraski-i-laki,Краски и лаки,Дом и хозяйство,home-household,Строительство и ремонт,Чечня,Грозный,"ул.Умара Кадырова,52",,+79287804987,,,,,,,,,,instagram:kraski_dali95,,,,,FALSE,FALSE,2026-09-20
published,9,td-barkalla,"ТД ""Баркалла""",Дом и хозяйство,home-household,Строительство и ремонт,Чечня,Грозный,"ул.Дербентская,47",,"+79287354879, +79226730751",,,mailto:barkalla.opt@mail.ru,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,10,halimi-hingalsh,Халими хингалш,Еда и напитки,food-drink,Фастфуд,Чечня,Грозный,,,+79287863355,,,,,,,,,,instagram:halimi_hingalsh,,,,,FALSE,FALSE,2026-09-20
published,11,kdl-kliniko-diagnosticheskaya-laboratoriya,KDL Клинико-диагностическая лаборатория,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.Лорсанова,6",,"+79889090535, +78712296163",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,12,miss-blesk-cleaning-service,Miss Blesk Cleaning service,Дом и хозяйство,home-household,Строительство и ремонт,Чечня,Грозный,"ул.Гадаева,9",,+79637010275,,,mailto:abbazova_91@mail.ru,,,,,,,instagram:miss_blesk_,,,,,FALSE,FALSE,2026-09-20
published,13,nokia-n,Nokia n,Товары и розница,retail,Электроника и гаджеты,Чечня,Грозный,"ул.Грибоедова,13",,"+79280007077, +79380007077",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,14,noxciyn-kiniska,Noxciyn kiniska,Товары и розница,retail,Книги и канцтовары,Чечня,Грозный,,,+79062225522,,,,,,,,,,instagram:nohchiyn_kinischka,,,,,FALSE,FALSE,2026-09-20
published,15,optika-oko-land,Оптика ОКО LAND,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,"ул.Сурикова,23",,+79389086660,,,mailto:oko.land@mail.ru,,,,,,,instagram:oko.land,,,,,FALSE,FALSE,2026-09-20
published,16,zoomagizin-akvarium,"Зоомагизин ""Аквариум""",Другое / Местные сервисы,other,Ветеринарные клиники,Чечня,Грозный,"ТРЦ ""Беркат"", 34 блок, 1 этаж",,+79288868153,,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,17,marsho,Marsho,Услуги,services,Маркетинг и реклама,Чечня,Грозный,"РТЦ«Беркат»,34 блок 2 этаж",,+79284789696,,,,,,,,,,instagram:marsho_wear,,,,,FALSE,FALSE,2026-09-20
published,18,way-cars,Way Cars,Транспорт и логистика,transport,Автосервис и СТО,Чечня,Грозный,,,"+79280225862, +79286465666",,,mailto:ramzaev7490@mail.ru,,,,,,,instagram:waycars_shop,,,,,FALSE,FALSE,2026-09-20
published,19,avtomagazin-magnit,Автомагазин Магнит,Транспорт и логистика,transport,Автосервис и СТО,Чечня,Грозный,"ул.Кирова,8",,"+79388992059, +79635877644",,,,,,,,,,,,,,,FALSE,FALSE,2026-09-20
published,20,psiholog-reabilitolog,Психолог-реабилитолог,Здоровье и красота,health-beauty,Клиники / медцентры,Чечня,Грозный,,,+79280008799,,,mailto:aelita1sintem@gmail.com,,,,,,,,,,,,FALSE,FALSE,2026-09-20
