category,category_slug,subcategory
Дом и хозяйство,home-household,Мебель и интерьер
Дом и хозяйство,home-household,Строительство и ремонт
Дом и хозяйство,home-household,Хозяйственные магазины
Другое / Местные сервисы,other,
Другое / Местные сервисы,other,Ветеринарные клиники
Еда и напитки,food-drink,Кафе и кофейни
Еда и напитки,food-drink,Сладости и кондитерские
Еда и напитки,food-drink,Фастфуд
Жильё и недвижимость,real-estate,Агентства недвижимости
Жильё и недвижимость,real-estate,Мебель и интерьер
Здоровье и красота,health-beauty,Клиники / медцентры
Образование и наука,education,Обучение и курсы
Развлечения и досуг,entertainment,Хозяйственные магазины
Товары и розница,retail,
Товары и розница,retail,Книги и канцтовары
Товары и розница,retail,Мебель на заказ / дизайн интерьера
Товары и розница,retail,Микрофинансы и кредитные организации
Товары и розница,retail,Хозяйственные магазины
Товары и розница,retail,Электроника и гаджеты
Транспорт и логистика,transport,Автосервис и СТО
Туризм и путешествия,travel,Отели и гостиницы
Услуги,services,
Услуги,services,Курьерские и транспортные компании
Услуги,services,Маркетинг и реклама
Услуги,services,Мебель и интерьер
Услуги,services,Ремонт домов и квартир
