id,image,title,category,subcategory,region,subregion,address,phone,website,rating,reviews_count,tags,services,hours_mon_fri,hours_sat_sun,price_level,description,updated_at
1,,Кондитерская Сафия,Еда и напитки,Сладости и кондитерские,Чечня,Грозный,,"89287895730
89634282053
89899321640",https://safiya-cakes.ru,4.8,54,"cakes,desserts,wifi,birthday cakes","delivery,custom orders,wifi",09:00-21:00,10:00-20:00,4,Популярная кондитерская в Грозном с широким выбором тортов и десертов.,2025-10-15
2,,"ЧайПей 
Сеть магазинов чая и кофе",Еда и напитки,Кафе и кофейни,Чечня,Грозный,"Ул. Орзамиева, 30
Ул. Назарбаева, 89
Ул. Дьякова, 12","89389898111
89389952995
89389953995
89389954995",instagram.com/chaypey95,4.7,,,,,,,,
3,,AutoСтиль,Транспорт и логистика,Автосервис и СТО,Чечня,Грозный,,89298992999,@auto_style_95,,,,,,,,,
4,,Soren,Еда и напитки,Кафе и кофейни,Чечня,Грозный,"Пр.Путина,19",89380003293,,,,,,,,,,
5,,Coffeeman,Еда и напитки,Кафе и кофейни,Чечня,Грозный,"пр.Путина,7",89380220000,,,,,,,,,,
6,,Отдел рассрочки,Товары и розница,Микрофинансы и кредитные организации,Чечня,Грозный,"Пр.Путина,20","89288889091
89280899484",@rassrochka_95,,,,,,,,,
7,,Artmedia,Услуги,Маркетинг и реклама,Чечня,Грозный,,89288882007,@artmedia95,,,,,,,,,
8,,Краски и лаки,Дом и хозяйство,Строительство и ремонт,Чечня,Грозный,"ул.Умара Кадырова,52",89287804987,@kraski_dali95,,,,,,,,,
9,,"ТД ""Баркалла""",Дом и хозяйство,Строительство и ремонт,Чечня,Грозный,"ул.Дербентская,47","89287354879
89226730751",barkalla.opt@mail.ru,,,,,,,,,
10,,Халими хингалш,Еда и напитки,Фастфуд,Чечня,Грозный,,89287863355,@halimi_hingalsh,,,,,,,,,
11,,KDL Клинико-диагностическая лаборатория,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.Лорсанова,6","89889090535
88712296163",,,,,,,,,,
12,,Miss Blesk Cleaning service,Дом и хозяйство,Строительство и ремонт,Чечня,Грозный,"ул.Гадаева,9",89637010275,"abbazova_91@mail.ru
@miss_blesk_",,,,,,,,,
13,,Nokia n,Товары и розница,Электроника и гаджеты,Чечня,Грозный,"ул.Грибоедова,13","89280007077
89380007077",,,,,,,,,,
14,,Noxciyn kiniska,Товары и розница,Книги и канцтовары,Чечня,Грозный,,89062225522,@nohchiyn_kinischka,,,,,,,,,
15,,Оптика ОКО LAND,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.Сурикова,23",89389086660,"@oko.land
oko.land@mail.ru",,,,,,,,,
16,,"Зоомагизин ""Аквариум""",Другое / Местные сервисы,Ветеринарные клиники,Чечня,Грозный,"ТРЦ ""Беркат"", 34 блок, 1 этаж",89288868153,,,,,,,,,,
17,,Marsho,Услуги,Маркетинг и реклама,Чечня,Грозный,"РТЦ«Беркат»,34 блок
2 этаж",89284789696,@marsho_wear,,,,,,,,,
18,,Way Cars,Транспорт и логистика,Автосервис и СТО,Чечня,Грозный,,"89280225862
89286465666","@waycars_shop
ramzaev7490@mail.ru",,,,,,,,,
19,,Автомагазин Магнит,Транспорт и логистика,Автосервис и СТО,Чечня,Грозный,"ул.Кирова,8","89388992059
89635877644",,,,,,,,,,
20,,Психолог-реабилитолог,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,,89280008799,aelita1sintem@gmail.com,,,,,,,,,
21,,Karcher,Дом и хозяйство,Хозяйственные магазины,Чечня,Грозный,"ул.Маяковского,93 а",89280089999,,,,,,,,,,
22,,Ваш отдых,Развлечения и досуг,Хозяйственные магазины,Чечня,Грозный,"ул.Сайханова,69",89288822666,@vashotdih,,,,,,,,,
23,,Грузовой сервис,Транспорт и логистика,Автосервис и СТО,Чечня,Грозный,"ул.Маяковского,91",89280022242,kameta.2010@yandex.ru,,,,,,,,,
24,,Грзоперевозки,Услуги,Курьерские и транспортные компании,Чечня,Грозный,,"89640089595
89659590050",,,,,,,,,,
25,,Сервис Гарант,Товары и розница,Хозяйственные магазины,Чечня,Грозный,"ул.Жуковского,13","89289536958
89287355358
89287844902",,,,,,,,,,
26,,Жалюзи,Дом и хозяйство,Строительство и ремонт,Чечня,Грозный,,89899225155,,,,,,,,,,
27,,"""Исцеляющие руки""",Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.Митаева,83",89284772478,,,,,,,,,,
28,,Инструменты по самым низким ценам,Дом и хозяйство,Хозяйственные магазины,Чечня,Грозный,"ул.Гоголя,56",89288884013,@bakar093,,,,,,,,,
29,,Изготовление ключей,Услуги,Ремонт домов и квартир,Чечня,Грозный,РТЦ Беркат,89679554847,,,,,,,,,,
30,,Kitab,Товары и розница,Книги и канцтовары,Чечня,Грозный,,89631799913,,,,,,,,,,
31,,Учебник,Товары и розница,Книги и канцтовары,Чечня,Грозный,РТЦ Беркат,89637015565,,,,,,,,,,
32,,Магазин Мебели,Товары и розница,Мебель на заказ / дизайн интерьера,Чечня,Грозный,,89639885685,,,,,,,,,,
33,,Массаж,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.8-го марта,37А","89280206715
89280181106",,,,,,,,,,
34,,Берс. Медицинский центр,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.Трудовая,43А",89288967628,mc-bers@mail.ru,,,,,,,,,
35,,Московские аптеки,Здоровье и красота,Клиники / медцентры,Чечня,Грозный,"ул.Дербентская,54А",89681756313,,,,,,,,,,
36,,Натяжные потолки,Дом и хозяйство,Строительство и ремонт,Чечня,Грозный,,89288888111,@potolki311,,,,,,,,,
37,,Магазин подарков,Услуги,Подкатегория,Чечня,Грозный,,89280223063,,,,,,,,,,
38,,,Другое / Местные сервисы,Подкатегория,Чечня,Гудермес,"ул. Ростовская, 11А",89380190406,,,,,,,,,,
39,,"Агентство недвижимости ""Регион""",Жильё и недвижимость,Агентства недвижимости,Чечня,Грозный,"Пр.Кадырова, 40а, офис 22",89659656060,,,,,,,,,,
40,,Ремонт и дизайн квартир,Жильё и недвижимость,Мебель и интерьер,Чечня,Грозный,,89287802999,,,,,,,,,,
41,,Сейфы,Товары и розница,Подкатегория,Чечня,Грозный,"ул.Маяковского, 5",89287395000,,,,,,,,,,
42,,Шкафы-купе,Услуги,Мебель и интерьер,Чечня,Грозный,,89280003111,,,,,,,,,,
43,,Натяжные потолки,Дом и хозяйство,Мебель и интерьер,Чечня,Грозный,,89288888111,,,,,,,,,,
44,,Школа дизайна,Образование и наука,Обучение и курсы,Чечня,грозный,,89289494488,,,,,,,,,,
45,,"Гостиница ""Корона""",Туризм и путешествия,Отели и гостиницы,Кабардино-Балкария,Нальчик,"ул.Балкарова,6",88662720037,,,,,,,,,,
